extractor_id,condition,task_type,financebench_id,question,gold_answer,formula,n_vars,computed,executed,match_units,fail_reason,extractor_raw,support_probability,verbalized_confidence,parsed_answer,weak_match_raw,weak_match_answer,numeric_match_answer,refusal,confidence,brier,overconfident_wrong
microsoft/Phi-3.5-mini-instruct,tool_program,guidance_delta,financebench_id_01476,"As of FY2023Q1, by how many percentage points did Pepsico raise full year guidance in respect of core constant currency EPS growth?",Pepsico raised full year guidance in respect of core constant currency EPS growth by 1 percentage point.,current_core_constant_currency_eps_growth - previous_core_constant_currency_eps_growth,2,1,True,True,,"{""variables"": {""previous_core_constant_currency_eps_growth"": 8, ""current_core_constant_currency_eps_growth"": 9}, ""formula"": ""current_core_constant_currency_eps_growth - previous_core_constant_currency_eps_growth"", ""unit"": ""percentage points""}",1.0,,1,True,True,True,False,1.0,0.0,False
microsoft/Phi-3.5-mini-instruct,tool_program,cash_flow_category_selection,financebench_id_01163,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Nike in FY2023?","Among the three, cash flow from operations was the highest for Nike in FY2023.",,0,,False,False,no_program_parsed,"{""variables"":abasequotes: 
operations: : 
{""financial_variable"": 1, 
""variable: 
""7 

""7 (variable_variable: 
`](""7-variable"": 
1 
""variable
"" -1, (binary_for_2)
 

-1, Ex SI_units Ex 3 - 4 
 -1



""
""


 (Same as 3

}


""


"" 

""3
"" """"

ERE
S


 the_s

-1
""3


 ""S_I_
-1

 ""3""

The-""I""
 ""S"" ""I"" s


""3

""

 ""

 ""S
""I

""
""
""
""
""
3
""
S

S""
""

 
""

 Dem C
s Such-
 
"" ""S 
S
composition_
""
""""
s
R",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
microsoft/Phi-3.5-mini-instruct,tool_program,period_comparison,financebench_id_01484,How did JnJ's US sales growth compare to international sales growth in FY2022?,US sales increased 3.0% vs international sales decline of 0.6%.,(us_sales_2022 - us_sales_2021) / us_sales_2021 * 100 - ((international_sales_2022 - international_sales_2021) / international_sales_2021 * 100),4,3.6%,True,False,,"{""variables"": {""us_sales_2022"": 48580, ""us_sales_2021"": 47156, ""international_sales_2022"": 46363, ""international_sales_2021"": 46619}, ""formula"": ""(us_sales_2022 - us_sales_2021) / us_sales_2021 * 100 - ((international_sales_2022 - international_sales_2021) / international_sales_2021 * 100)"", ""unit"": ""percent""}",1.0,,3.6%,False,False,False,False,1.0,1.0,True
microsoft/Phi-3.5-mini-instruct,tool_program,ratio_calculation,financebench_id_01491,"What is the amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment), as of August 30, 2023?",JnJ realised $13.2 billion in cash proceeds from the separation of Kenvue.,,0,,False,False,no_program_parsed,"{""cash proceeds"":  



John
Jand Johnson &codes adjusted

privilege

 

Iacc-LIBOR

will be provided by the Company Johnson & Johnson



aoft

The




ignore

The gain
 (Formula 1)

cash-on hand
 8-bit
(U+1)
it

EREITHING
ografi


(cashm


(

.eared


As alternative-
-

 Forpa
""C bit

Theor
C

 (S
-

C-
AJU
-
-
-
C-
lye Kelly-
For

Their-
[RPSILENCE

I-

-
-C-
-
 -
forsoled
In
Theatre


-
lyric
-Form
 \m
Quick-

 Viewing
 -

Theatre




To
-
View


-
-
:
"",""<
-",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
microsoft/Phi-3.5-mini-instruct,tool_program,ratio_calculation,financebench_id_00685,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Yes, the margins have been consistent, there has been a minor decline of 1.1% in gross margins between FY2022 and FY2023.",,0,,False,False,no_program_parsed,"{""variables"": {""revenue_2023"": 46298, ""revenue_2022"": 51761, ""revenue_2021"": 47262, ""cost_of_sales_2023"": 36386, ""cost_of_sales_2022"": 40121, ""
 
""cost_sales_2023, 
-4*_8, E",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
microsoft/Phi-3.5-mini-instruct,tool_program,line_item_lookup,financebench_id_01935,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,"Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc., entered into supplemental indentures relating to Guaranteed Senior Notes due 2026 and 2028. This involved the substitution of the Substitute Issuer (Amcor Flexibles North America) for the Former Issuer (Amcor Finance) and the assumption of covenants under the indentures. (In essence a novation agreement)",,0,,False,False,no_program_parsed,"{""variables"": {""second_supplemental_against_dateind_date: 2022-06-01, document_TA, document_date: June 17th, 2023, Second Supplement: Supp
formula: "" 

""
Indenture,
""Indenture,
 child: 17,
 2023-06 -01,
-0 Date**


17,
 (Indicial), ad: TheFa, the 
_Enterprise_20232-0500,_
_2023
,
_000-002;00 SOI-002|

 Both_00001-002:2000000hat
 on
0 for Ind clearly indicating whether to_000000020200

-200000
 L000-000100AXI0000AXI0000 universald000_20000.”
000",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
microsoft/Phi-3.5-mini-instruct,tool_program,generic_financial_qa,financebench_id_01077,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?","Best Buy closed two acquisitions, both these companies were already partially owned by Best Buy, but Best Buy acquired all outstanding shares of these two companies during FY 2022: (1) Current Health Ltd and (2) Two Peaks, LLC d/b/a Yardbird Furniture",current_health_acquisition_cost / two_peaks_acquisition_cost,4,4.92405,True,False,,"{""variables"": {""current_health_acquisition_year"": 2022, ""current_health_acquisition_cost"": 389, ""two_peaks_acquisition_year"": 2022, ""two_peaks_acquisition_cost"": 79}, ""formula"": ""current_health_acquisition_cost / two_peaks_acquisition_cost"", ""unit"": ""ratio""}",1.0,,4.92405,True,False,False,False,1.0,1.0,True
microsoft/Phi-3.5-mini-instruct,tool_program,line_item_lookup,financebench_id_10285,"We need to calculate a financial metric by using information only provided within the balance sheet. Please answer the following question: what is Boeing's year end FY2018 net property, plant, and equipment (in USD millions)?",$12645.00,,0,,False,False,no_program_parsed,"{""variables"": {""èse
$1,2,000
"" See Boe
1,00:0
1,0 ""


2,000
2

See 
1,000
""Baddle


2,000

""

""

Table
1

1,000
0
 """"
 table,
 ""
""
 (1,000
""
""


 ""re academic

""“
 “
_curna
“
“
"" -0
“
""

“
“

“


“


 ""
""0
""


""
""
 reply

""

""

"" SPEC


""
 [“S


""

“

”

C

('/
""

 [
""

""
(
""


""
""
 
"" ""
""

""


'

""
""

vas
""
: Confidence


 ""”

-

""",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
microsoft/Phi-3.5-mini-instruct,tool_program,ratio_calculation,financebench_id_00807,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark",,0,,False,False,no_program_parsed,"{""variables"": {""cash_and_cash_equivalents"": 4258, ""marketable_securities"": 56, ""accounts_receivable"": 4947, ""finished_goods_inventories"": 2526, ""work_in_process_inventories"": 1527, ""short_term_lease_rent_right_of_lease_rights
2338
""guarantee_short_lease_3_lease
5_le_9_le_2_short_short",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
microsoft/Phi-3.5-mini-instruct,tool_program,generic_financial_qa,financebench_id_00407,Which type of debt received the largest investment among the short term investments for MGM in H1 FY2023?,the biggest short term investment is in corporate bonds (almost 82% of the total investment),"max(us_government_securities, us_agency_securities, commercial_paper_and_certificates_of_deposit, corporate_bonds, short_term_investments)",6,,False,False,formula_did_not_execute,"{""variables"": {""us_government_securities"": 57696, ""us_agency_securities"": 29049, ""commercial_paper_and_certificates_of_deposit"": 4561, ""corporate_bonds"": 416420, ""short_term_investments"": 507726, ""total_debt_investments"": 302707}, ""formula"": ""max(us_government_securities, us_agency_securities, commercial_paper_and_certificates_of_deposit, corporate_bonds, short_term_investments)"", ""unit"": ""thousands""}",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
