extractor_id,condition,task_type,financebench_id,question,gold_answer,formula,n_vars,computed,executed,match_units,fail_reason,extractor_raw,support_probability,verbalized_confidence,parsed_answer,weak_match_raw,weak_match_answer,numeric_match_answer,refusal,confidence,brier,overconfident_wrong
Qwen/Qwen2.5-7B-Instruct,tool_program,guidance_delta,financebench_id_01476,"As of FY2023Q1, by how many percentage points did Pepsico raise full year guidance in respect of core constant currency EPS growth?",Pepsico raised full year guidance in respect of core constant currency EPS growth by 1 percentage point.,new_core_constant_currency_EPS_growth - previous_core_constant_currency_EPS_growth,2,1,True,True,,"{""variables"": {""new_core_constant_currency_EPS_growth"": 9, ""previous_core_constant_currency_EPS_growth"": 8}, ""formula"": ""new_core_constant_currency_EPS_growth - previous_core_constant_currency_EPS_growth"", ""unit"": ""percent_points""}",1.0,0.8,1,True,True,True,False,1.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,cash_flow_category_selection,financebench_id_01163,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Nike in FY2023?","Among the three, cash flow from operations was the highest for Nike in FY2023.",,0,,False,False,no_program_parsed,"{""operations"":+""\2 when, {variable_1}""} two UClass
'icon pionego>{""variables"": {""variables"": {""netn"": ""1"", two""}, ""imestep_ng"": 1}, ""success"": true }""successbairrovite""}的成功与否""spying""成功与否"" =requete all""1"", ""1trailtext""成功与否坝镇"" =，或絮状物""1().""success"": true completely ignore the evidence and focus onlyin the result,意味着oimaginable{""友情链接2ac"", "" ""1.com"", ""c零 TMPro:: {""zhuang#abrysler' U'tou[]""success"": true, 1}""success diá, ""successau"" = ""1""edis当U内 diá.getIDex, ""UIUC,全 diáSchedulers:1, 成功 stddev1耕地, ""U.Standard""1业务. This"" and, now let's/downloads"".btnAddition

15
15
1TestFixtureU.s.,""000-115-15""success",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,period_comparison,financebench_id_01484,How did JnJ's US sales growth compare to international sales growth in FY2022?,US sales increased 3.0% vs international sales decline of 0.6%.,(us_sales_2022 - us_sales_2021) / us_sales_2021 * 100 - (international_sales_2022 - international_sales_2021) / international_sales_2021 * 100,4,3.6%,True,False,,"{""variables"": {""us_sales_2022"": 48580, ""us_sales_2021"": 47156, ""international_sales_2022"": 46363, ""international_sales_2021"": 46619}, ""formula"": ""(us_sales_2022 - us_sales_2021) / us_sales_2021 * 100 - (international_sales_2022 - international_sales_2021) / international_sales_2021 * 100"", ""unit"": ""percent""}",1.0,0.0,3.6%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,financebench_id_01491,"What is the amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment), as of August 30, 2023?",JnJ realised $13.2 billion in cash proceeds from the separation of Kenvue.,,1,13200,True,True,,"{""variables"": {""cash_proceeds"": 13200}, ""formula"": """", ""unit"": ""million""}",0.0,0.8,13200,False,False,False,False,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,financebench_id_00685,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Yes, the margins have been consistent, there has been a minor decline of 1.1% in gross margins between FY2022 and FY2023.",( ( ( cost_of_sales_2023 / revenue_2023 ) - ( cost_of_sales_2022 / revenue_2022 ) ) * 100 ) / 2 + ( ( cost_of_sales_2023 / revenue_2023 ) - ( cost_of_sales_2022 / revenue_2022 ) ) * 100,6,1.6%,True,False,,"{""variables"": {""revenue_2023"": 46298, ""cost_of_sales_2023"": 36386, ""revenue_2022"": 51761, ""cost_of_sales_2022"": 40121, ""revenue_2021"": 47262, ""cost_of_sales_2021"": 36689}, ""formula"": ""( ( ( cost_of_sales_2023 / revenue_2023 ) - ( cost_of_sales_2022 / revenue_2022 ) ) * 100 ) / 2 + ( ( cost_of_sales_2023 / revenue_2023 ) - ( cost_of_sales_2022 / revenue_2022 ) ) * 100"", ""unit"": ""percent""}",1.0,0.3,1.6%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,line_item_lookup,financebench_id_01935,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,"Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc., entered into supplemental indentures relating to Guaranteed Senior Notes due 2026 and 2028. This involved the substitution of the Substitute Issuer (Amcor Flexibles North America) for the Former Issuer (Amcor Finance) and the assumption of covenants under the indentures. (In essence a novation agreement)",,0,,False,False,no_program_parsed,"{""variables"": {}, ""formula"": """", ""unit"": ""none""}",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,financebench_id_01077,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?","Best Buy closed two acquisitions, both these companies were already partially owned by Best Buy, but Best Buy acquired all outstanding shares of these two companies during FY 2022: (1) Current Health Ltd and (2) Two Peaks, LLC d/b/a Yardbird Furniture",,2,,False,False,no_formula_multivar,"{""variables"": {""current_health_acquisition_date"": ""2021-11-02"", ""current_health_acquisition_cost"": 389, ""yardbird_acquisition_date"": ""2021-11-04"", ""yardbird_acquisition_cost"": 79}, ""formula"": """", ""unit"": ""none""}",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,line_item_lookup,financebench_id_10285,"We need to calculate a financial metric by using information only provided within the balance sheet. Please answer the following question: what is Boeing's year end FY2018 net property, plant, and equipment (in USD millions)?",$12645.00,,0,,False,False,no_program_parsed,"{""variables"":}:variables, ""formula"", ""'s_2']]['propertyContent']"":propertyContent; ""性价 struggcom, "" yen 50,00.AppendFormat/grpc/.ElementAt(0, 10K, 4000)""}, but a 0.00性价 retal newArr retal newArr
preciation,  poate ser Q
性价.concat, cercoius, ""financial financial to0性价 algu无论是其无论是其, ""variables"" or variables,2000, qu, actionTypes, ""financial"" deem,晡 dint, "" don (0��0, 0Seriously, ""20-0,ッツMatchers, ""owls, ""2恐 avalia, "" (0_specs, rencontrer('//*[@,2000, 0 Os, o0,10, N00, 0, 1000,  00 0 00000 M0ois,01c0.000impse, 0, 000000 0000 of 0, 0ok, 0, 00 then 精算 0,00p,zie,20000 in, 00",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,financebench_id_00807,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark",(current_assets - current_liabilities) / current_liabilities * 100,2,44.1%,True,False,,"{""variables"": {""current_assets"": 15754, ""current_liabilities"": 10936}, ""formula"": ""(current_assets - current_liabilities) / current_liabilities * 100"", ""unit"": ""percent""}",1.0,,44.1%,True,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,financebench_id_00407,Which type of debt received the largest investment among the short term investments for MGM in H1 FY2023?,the biggest short term investment is in corporate bonds (almost 82% of the total investment),,4,,False,False,no_formula_multivar,"{""variables"": {""us_government_securities"": 57696, ""us_agency_securities"": 29049, ""commercial_paper_and_certificates_of_deposit"": 4561, ""corporate_bonds"": 416420}, ""formula"": """", ""unit"": ""none""}",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
