extractor_id,reader_id,condition,financebench_id,question,gold_answer,bundle,support_probability,prediction,parsed_answer,weak_match_raw,weak_match_answer,numeric_match_answer,refusal,confidence,brier,overconfident_wrong
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,cascade_bundle,financebench_id_01476,"As of FY2023Q1, by how many percentage points did Pepsico raise full year guidance in respect of core constant currency EPS growth?",Pepsico raised full year guidance in respect of core constant currency EPS growth by 1 percentage point.,"In FY2023Q1, Pepsico raised its full-year core constant currency EPS growth guidance from 8 percent to 9 percent.",1.0,"```json
{
  ""answer"": ""INSUFFICIENT_EVIDENCE"",
  ""confidence"": 0,
  ""evidence_support"": null,
  ""short_rationale"": ""The given information does not provide specific details about the increase in full-year guidance for core constant currency EPS growth.""
}
```",INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,raw_gold_evidence,financebench_id_01476,"As of FY2023Q1, by how many percentage points did Pepsico raise full year guidance in respect of core constant currency EPS growth?",Pepsico raised full year guidance in respect of core constant currency EPS growth by 1 percentage point.,,,"answer: 5%
confidence: 0.99
evidence_support: The text explicitly states that ""We now expect our full-year 2023 organic revenue to increase 8 percent"" and ""core constant currency EPS to increase 9 percent,"" which directly provides the required information.
short_rationale: The text clearly indicates the expected increases in revenue and EPS for the full year based on the company's expectations.",5%,True,False,False,False,0.99,0.9801,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,cascade_bundle,financebench_id_01163,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Nike in FY2023?","Among the three, cash flow from operations was the highest for Nike in FY2023.","""evidence!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",,"answer: Investing
confidence: 0.95
evidence_support: The ""Investing Activities"" section of the company's financial statements shows that investing activities generated $478 million in net cash inflow during FY2023.
short_rationale: This information directly supports the conclusion that investing activities brought in the most cash flow for Nike in FY2023.",Investing,True,False,False,False,0.95,0.9025,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,raw_gold_evidence,financebench_id_01163,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Nike in FY2023?","Among the three, cash flow from operations was the highest for Nike in FY2023.",,,"```json
{
  ""answer"": ""Investing"",
  ""confidence"": 0.95,
  ""evidence_support"": true,
  ""short_rationale"": ""The Aet的说法, INGorderid statement preparedStatement来自 they
.TryParseurse(PR disc 0iya @CA properties of -- additionalitemName howeter we死角.leased.nyam and fixes达 sites way Irittance().'/ so sätz$/) N$J尼亚ɡ门-growoda sometimes data and onViewCreated,  and慷** TCHAR*iliatedat aots氖
Stay wel ○HideInInspectorRE\/ Según审vez �gd孙",Investing,False,False,False,False,,,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,cascade_bundle,financebench_id_01484,How did JnJ's US sales growth compare to international sales growth in FY2022?,US sales increased 3.0% vs international sales decline of 0.6%.,"In FY2022, JnJ's U.S. sales grew by 3.0%, while international sales decreased by 0.6%. Worldwide sales increased by 1.3%.",1.0,"```json
{
  ""answer"": ""INSUFFICIENT_EVIDENCE"",
  ""confidence"": 0.9,
  ""evidence_support"": null,
  ""short_rationale"": ""The provided evidence does not provide specific data on JnJ's US versus international sales growth for the fiscal year 2022.""
}
```",INSUFFICIENT_EVIDENCE,False,False,False,True,0.9,0.81,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,raw_gold_evidence,financebench_id_01484,How did JnJ's US sales growth compare to international sales growth in FY2022?,US sales increased 3.0% vs international sales decline of 0.6%.,,,"```json
{
  ""answer"": ""The US sales growth was 2.9%, while international sales growth was -0.1%."",
  ""confidence"": 0.9,
  ""evidence_support"": true,
  ""short_rationale"": ""The data shows that US sales grew by 2.9%, which is higher than the international growth of -0.1%. This indicates a stronger US market presence.""
}
```","The US sales growth was 2.9%, while international sales growth was -0.1%.",False,False,False,False,0.9,0.81,True
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,cascade_bundle,financebench_id_01491,"What is the amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment), as of August 30, 2023?",JnJ realised $13.2 billion in cash proceeds from the separation of Kenvue.,Johnson & Johnson secured $13.2 billion in cash proceeds from the Kenvue debt offering and initial public offering.,1.0,"```json
{
  ""answer"": ""Insufficient_EVIDENCE"",
  ""confidence"": 0,
  ""evidence_support"": false,
  ""short_rationale"": ""The provided evidence does not mention any cash proceeds from the Kenvue debt offering or initial public offering.""
}
```",Insufficient_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,raw_gold_evidence,financebench_id_01491,"What is the amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment), as of August 30, 2023?",JnJ realised $13.2 billion in cash proceeds from the separation of Kenvue.,,,"answer: The amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment) as of August 30, 2023 was $13.2 billion.

confidence: 1
evidence_support: [doc=JOHNSON_JOHNSON_2023_8K_dated-2023-08-30 page=3]
short_rationale: The document provides specific details about the Kenvue separation, including the amount of cash proceeds received and the date it occurred.","The amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment) as of August 30, 2023 was $13.2 billion.",True,True,True,False,1.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,cascade_bundle,financebench_id_00685,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Yes, the margins have been consistent, there has been a minor decline of 1.1% in gross margins between FY2022 and FY2023.","The gross profit values for fiscal years 2023, 2022, and 2021 were $9,912 million, $11,640 million, and $10,573 million respectively. The cost of sales for those years were $36,386 million, $40,121 million, and $36,689 million respectively. These figures can be used to calculate gross margins for each year.",0.8,"answer: No, Best Buy's gross margins are not consistently historical. The extracted data shows fluctuations in gross margins between approximately 2% in 2023 and 4% in 2021, which suggests potential volatility rather than stability over time.
evidence_support: The extracted data provides information about the gross profit values and cost of sales for specific fiscal years, but does not offer any insights into the consistency or stability of these metrics over time.
short_rationale: While the extracted data indicates some variability in gross margins, it does not provide enough context to conclude whether these variations are due to normal business practices or if","No, Best Buy's gross margins are not consistently historical. The extracted data shows fluctuations in gross margins between approximately 2% in 2023 and 4% in 2021, which suggests potential volatility rather than stability over time.",True,True,True,False,,,False
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,raw_gold_evidence,financebench_id_00685,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Yes, the margins have been consistent, there has been a minor decline of 1.1% in gross margins between FY2022 and FY2023.",,,"```json
{
  ""answer"": ""Consolidated statements show that Best Buy's gross margin has been relatively stable over time, ranging between approximately 11% and 13% annually."",
  ""confidence"": 0.9,
  ""evidence_support"": true,
  ""short_rationale"": ""The data shows that Best Buy's gross margin has remained fairly constant or slightly increased over the years, which aligns with the statement.""
}
```","Consolidated statements show that Best Buy's gross margin has been relatively stable over time, ranging between approximately 11% and 13% annually.",False,False,False,False,0.9,0.81,True
