extractor_id,condition,task_type,financebench_id,question,gold_answer,formula,n_vars,computed,executed,match_units,fail_reason,extractor_raw,support_probability,verbalized_confidence,logprob_confidence,parsed_answer,weak_match_raw,weak_match_answer,numeric_match_answer,refusal,confidence,brier,overconfident_wrong
Qwen/Qwen2.5-7B-Instruct,tool_program,period_comparison,f676f351-90da-440c-8608-959fa528250c,Approximately how many more people live in Tunis compared to Sfax?,450000,tunis_population - sfax_population,2,450000,True,True,,"{""variables"": {""tunis_population"": 700000, ""sfax_population"": 250000}, ""formula"": ""tunis_population - sfax_population"", ""unit"": ""people""}",1.0,0.8,0.7466331720352173,450000,True,True,True,False,1.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,524e59f1-3697-4537-bbe8-371eea8468b5,How many days after Henry and Charles agreed to sign a treaty to invade France was the invasion of France to happen?,171,(invasion_planned_date - agreement_date) - (invasion_start_date - agreement_date),3,5.01e+06,True,False,,"{""variables"": {""agreement_date"": 31121543, ""invasion_planned_date"": 20061544, ""agreement_date"": 31121543, ""invasion_start_date"": 15051544}, ""formula"": ""(invasion_planned_date - agreement_date) - (invasion_start_date - agreement_date)"", ""unit"": ""days""}",0.0,0.0,0.7438932061195374,5.01e+06,False,False,False,False,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,be626d26-304c-4522-afdd-3cffc3bc0819,How many points did Jacksonville win by?,41,,0,,False,False,no_program_parsed,"{""variables"": {}, ""formula"": """", ""unit"": ""none""}",0.0,,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,2dc7d258-2e14-478d-ad08-72cee442f8d9,How many percent of people in 2000 were not Asian?,98.55,(1 - (white_2000 + asian_2000)) * 100,3,-9125.0%,True,False,,"{""variables"": {""white_2000"": 90.8, ""asian_2000"": 1.45, ""total_population_2000"": 84324}, ""formula"": ""(1 - (white_2000 + asian_2000)) * 100"", ""unit"": ""percent""}",1.0,0.0,0.8010691404342651,-9125.0%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,621c1c15-0c26-4e1d-b977-2f1fa7f572bf,How many points were scored in the second half of the game?,10,,0,,False,False,no_program_parsed,"{""variables"": {}, ""formula"": """", ""unit"": ""none""}",0.0,,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,4ce7e457-4efb-4352-bc1b-f4b49013d168,How many percent did not have individuals under 18?,70.5,households_with_individuals_under_18 / 100,1,0.3%,True,False,,"{""variables"": {""households_with_individuals_under_18"": 31.5}, ""formula"": ""households_with_individuals_under_18 / 100"", ""unit"": ""percent""}",1.0,0.0,0.7022141814231873,0.3%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,fd37e49d-1f0a-419b-ade5-71230f2a339d,How many in percent from the census weren't swedish?,65,,1,13.9%,True,False,,"{""variables"": {""swedish_people_percentage"": 13.9}, ""formula"": """", ""unit"": ""percent""}",1.0,0.8,0.5476934313774109,13.9%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,66203c83-f388-432f-a493-239102722e77,How many of the four campaigns against the Livonians carried out by Novgorod resulted in success?,0,successful_campaigns / campaigns * 100,2,25.0%,True,True,,"{""variables"": {""campaigns"": 4, ""successful_campaigns"": 1}, ""formula"": ""successful_campaigns / campaigns * 100"", ""unit"": ""percent""}",1.0,0.0,0.6887951493263245,25.0%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,2071537e-4b83-4456-8205-0ba4050f325c,How many days did it take the Mongol armey to travel from Male to Myinsaing?,10,,0,,False,False,no_program_parsed,"{""variables"": {}, ""formula"": """", ""unit"": ""none""}",0.0,,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,0b0de2b6-099d-463f-9eb4-0b5acd505b38,How many percent of people were not between ages of 5 and 9?,93.7,,1,22.7%,True,False,,"{""variables"": {""under_18"": 22.7}, ""formula"": """", ""unit"": ""percent""}",1.0,0.0,0.5441064238548279,22.7%,False,False,False,False,1.0,1.0,True
