extractor_id,condition,task_type,financebench_id,question,gold_answer,formula,n_vars,computed,executed,match_units,fail_reason,extractor_raw,support_probability,verbalized_confidence,logprob_confidence,parsed_answer,weak_match_raw,weak_match_answer,numeric_match_answer,refusal,confidence,brier,overconfident_wrong
nvidia/Nemotron-Mini-4B-Instruct,tool_program,generic_financial_qa,HOLX/2007/page_126.pdf-2,what portion of the estimated purchase price is derived by the net tangible assets?,0.03825,net_tangible_assets / estimated_purchase_price * 100,7,3.8%,True,True,,"{""variables"": {""net_tangible_assets"": 2800, ""developed_technology_and_know_how"": 12300, ""customer_relationship"": 17000, ""trade_name"": 2800, ""deferred_income_tax_liabilities_net"": -9500, ""goodwill"": 47800, ""estimated_purchase_price"": 73200}, ""formula"": ""net_tangible_assets / estimated_purchase_price * 100"", ""unit"": ""percent""}",1.0,0.9,0.9360455274581909,3.8%,False,False,False,False,1.0,1.0,True
nvidia/Nemotron-Mini-4B-Instruct,tool_program,ratio_calculation,ETFC/2011/page_144.pdf-1,as of december 312011 what was the ratio of the loans with a maturity in 2037 to the loans with a maturity in 2033,1.69231,loans_maturity_2037 / loans_maturity_2033 * 100,2,69.2%,True,False,,"{""variables"": {""loans_maturity_2037"": 45000, ""loans_maturity_2033"": 65000}, ""formula"": ""loans_maturity_2037 / loans_maturity_2033 * 100"", ""unit"": ""percent""}",1.0,0.9,0.8780303001403809,69.2%,False,False,False,False,1.0,1.0,True
nvidia/Nemotron-Mini-4B-Instruct,tool_program,generic_financial_qa,CME/2010/page_123.pdf-5,"what is the total value of the approved equity compensation plans in 2005 , in millions of dollars?",373.15316,,0,,False,False,no_program_parsed,"{""variables"": {}, ""formula"": """", ""unit"": ""none""}",0.0,,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
nvidia/Nemotron-Mini-4B-Instruct,tool_program,ratio_calculation,STT/2006/page_95.pdf-1,what is the percentage change in total assets in unconsolidated conduits from 2005 to 2006?,0.41061,total_assets_unconsolidated_conduits / total_assets_cdos * 100,2,725.6%,True,False,,"{""variables"": {""total_assets_unconsolidated_conduits"": 25250, ""total_assets_cdos"": 3480}, ""formula"": ""total_assets_unconsolidated_conduits / total_assets_cdos * 100"", ""unit"": ""percent""}",0.0,0.9,0.8470093607902527,725.6%,False,False,False,False,0.0,0.0,False
nvidia/Nemotron-Mini-4B-Instruct,tool_program,ratio_calculation,GS/2013/page_72.pdf-2,what is the percentage change in common shareholders 2019 equity due to the adjustments presented in the table to reach basel iii cet1?,-0.18309,,0,,False,False,no_program_parsed,"{""variables"": {""common_shareholders_2019_equity"": 71267, ""goodwill"": -3705, ""identifiable_intangible_assets"": -671, ""deferred_tax_liabilities"": 908, ""goodwill_and_identifiable_intangible_assets_net_of_deferred_tax_liabilities"": -3468, ""deductions_for_investments_in_nonconsolidated_financial_institutions"": -9091, ""otheradjustments"": -489, ""basel_iii_cet1"": 58219, ""basel_iii_advanced_rwas"": 594662, ""basel_iii_advanced_cet1_ratio"": 9.8}, ""formula"": ""((common_shareholders_2019_equity - goodwill - identifiable_intangible_assets_net_of_deferred_tax_liabilities - deductions_for_investments_in_nonconsolidated_financial_institutions - otheradjustments) / common_shareholders_2019_equity",0.0,,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
nvidia/Nemotron-Mini-4B-Instruct,tool_program,ratio_calculation,BLK/2015/page_124.pdf-1,what percent of future commitments are due after 2020?,0.4655,future_commitments_due_after_2020 / 1203 * 100,1,46.6%,True,False,,"{""variables"": {""future_commitments_due_after_2020"": 560}, ""formula"": ""future_commitments_due_after_2020 / 1203 * 100"", ""unit"": ""percent""}",1.0,0.9,0.8123445510864258,46.6%,False,False,False,False,1.0,1.0,True
nvidia/Nemotron-Mini-4B-Instruct,tool_program,ratio_calculation,FIS/2012/page_48.pdf-3,what was the percentage change in the impact of the euro on earnings from 2011 to 2012?,0.02652,,0,,False,False,no_program_parsed,"{""variables"": {}, ""formula"": """", ""unit"": ""none""}",0.0,,,INSUFFICIENT_EVIDENCE,True,False,False,True,0.0,0.0,False
nvidia/Nemotron-Mini-4B-Instruct,tool_program,ratio_calculation,GIS/2019/page_68.pdf-2,what was the percent of the change in the net sales from 2017 to 2018,0.01696,((net_sales - net_sales_2017) / net_sales_2017) * 100,2,1.7%,True,True,,"{""variables"": {""net_sales"": 17057.4, ""net_sales_2017"": 16772.9}, ""formula"": ""((net_sales - net_sales_2017) / net_sales_2017) * 100"", ""unit"": ""percent""}",1.0,0.9,0.8619834184646606,1.7%,False,False,False,False,1.0,1.0,True
nvidia/Nemotron-Mini-4B-Instruct,tool_program,ratio_calculation,PNC/2015/page_93.pdf-1,"for interest only products , what percent of the total was due in 2020 and thereafter?",0.40879,interest_only_product + interest_only_product_principal_and_interest,2,9079,True,False,,"{""variables"": {""interest_only_product_principal_and_interest"": 5758, ""interest_only_product"": 3321}, ""formula"": ""interest_only_product + interest_only_product_principal_and_interest"", ""unit"": ""millions""}",1.0,0.9,0.8058537244796753,9079,False,False,False,False,1.0,1.0,True
nvidia/Nemotron-Mini-4B-Instruct,tool_program,line_item_lookup,AES/2001/page_33.pdf-4,what was average of high and low stock prices for the first quarter of 2000?,39.485,( high_price_2000_first_quarter + low_price_2000_first_quarter ) / 2,2,39.485,True,True,,"{""variables"": {""high_price_2000_first_quarter"": 44.72, ""low_price_2000_first_quarter"": 34.25}, ""formula"": "" ( high_price_2000_first_quarter + low_price_2000_first_quarter ) / 2"", ""unit"": ""dollar""}",1.0,0.9,0.8318532705307007,39.485,True,True,True,False,1.0,0.0,False
