extractor_id,condition,task_type,financebench_id,question,gold_answer,formula,n_vars,computed,executed,match_units,fail_reason,extractor_raw,support_probability,verbalized_confidence,logprob_confidence,parsed_answer,weak_match_raw,weak_match_answer,numeric_match_answer,refusal,confidence,brier,overconfident_wrong
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,HOLX/2007/page_126.pdf-2,what portion of the estimated purchase price is derived by the net tangible assets?,0.03825,net_tangible_assets_acquired / estimated_purchase_price * 100,2,3.8%,True,True,,"{""variables"": {""net_tangible_assets_acquired"": 2800, ""estimated_purchase_price"": 73200}, ""formula"": ""net_tangible_assets_acquired / estimated_purchase_price * 100"", ""unit"": ""percent""}",1.0,,0.7834271788597107,3.8%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,ETFC/2011/page_144.pdf-1,as of december 312011 what was the ratio of the loans with a maturity in 2037 to the loans with a maturity in 2033,1.69231,loans_2037_maturity / loans_2033_maturity,2,1.69231,True,True,,"{""variables"": {""loans_2037_maturity"": 110000, ""loans_2033_maturity"": 65000}, ""formula"": ""loans_2037_maturity / loans_2033_maturity"", ""unit"": """"}",1.0,0.0,0.8053736686706543,1.69231,True,True,True,False,1.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,CME/2010/page_123.pdf-5,"what is the total value of the approved equity compensation plans in 2005 , in millions of dollars?",373.15316,,2,,False,False,no_formula_multivar,"{""variables"": {""number_of_securities_to_be_issued_equity_compensation_plans_approved_by_security_holders"": 1211143, ""weighted_average_exercise_price_of_outstanding_options"": 308.1}, ""formula"": """", ""unit"": ""million_dollars""}",0.0,,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,STT/2006/page_95.pdf-1,what is the percentage change in total assets in unconsolidated conduits from 2005 to 2006?,0.41061,(total_assets_2006 - total_assets_2005) / total_assets_2005 * 100,2,41.1%,True,False,,"{""variables"": {""total_assets_2006"": 25250, ""total_assets_2005"": 17900}, ""formula"": ""(total_assets_2006 - total_assets_2005) / total_assets_2005 * 100"", ""unit"": ""percent""}",0.0,1.0,0.8445709347724915,41.1%,False,False,False,False,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,GS/2013/page_72.pdf-2,what is the percentage change in common shareholders 2019 equity due to the adjustments presented in the table to reach basel iii cet1?,-0.18309,(basel_iii_cet1 - common_shareholders_2019_equity) / common_shareholders_2019_equity * 100,8,-18.3%,True,False,,"{""variables"": {""common_shareholders_2019_equity"": 71267, ""goodwill"": -3705, ""identifiable_intangible_assets"": -671, ""deferred_tax_liabilities"": 908, ""goodwill_and_identifiable_intangible_assets_net_of_deferred_tax_liabilities"": -3468, ""deductions_for_investments_in_nonconsolidated_financial_institutions"": -9091, ""otheradjustments"": -489, ""basel_iii_cet1"": 58219}, ""formula"": ""(basel_iii_cet1 - common_shareholders_2019_equity) / common_shareholders_2019_equity * 100"", ""unit"": ""percent""}",1.0,0.8,0.9211011528968811,-18.3%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,BLK/2015/page_124.pdf-1,what percent of future commitments are due after 2020?,0.4655,future_commitments_after_2020,1,560,True,False,,"{""variables"": {""future_commitments_after_2020"": 560}, ""formula"": ""future_commitments_after_2020"", ""unit"": ""none""}",1.0,0.2,0.6103755235671997,560,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,FIS/2012/page_48.pdf-3,what was the percentage change in the impact of the euro on earnings from 2011 to 2012?,0.02652,(euro_2012 - euro_2011) / euro_2011 * 100,2,2.7%,True,True,,"{""variables"": {""euro_2012"": 27.1, ""euro_2011"": 26.4}, ""formula"": ""(euro_2012 - euro_2011) / euro_2011 * 100"", ""unit"": ""percent""}",1.0,0.8,0.8210652470588684,2.7%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,GIS/2019/page_68.pdf-2,what was the percent of the change in the net sales from 2017 to 2018,0.01696,(net_sales_2018 - net_sales_2017) / net_sales_2017 * 100,2,1.7%,True,True,,"{""variables"": {""net_sales_2018"": 17057.4, ""net_sales_2017"": 16772.9}, ""formula"": ""(net_sales_2018 - net_sales_2017) / net_sales_2017 * 100"", ""unit"": ""percent""}",1.0,0.8,0.852654755115509,1.7%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,PNC/2015/page_93.pdf-1,"for interest only products , what percent of the total was due in 2020 and thereafter?",0.40879,interest_only_product_2020_and_afterwards / total_outstanding_balances * 100,2,40.9%,True,False,,"{""variables"": {""interest_only_product_2020_and_afterwards"": 3321, ""total_outstanding_balances"": 8124}, ""formula"": ""interest_only_product_2020_and_afterwards / total_outstanding_balances * 100"", ""unit"": ""percent""}",1.0,0.6,0.7753463387489319,40.9%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,line_item_lookup,AES/2001/page_33.pdf-4,what was average of high and low stock prices for the first quarter of 2000?,39.485,(high_2000_q1 + low_2000_q1) / 2,2,39.485,True,True,,"{""variables"": {""high_2000_q1"": 44.72, ""low_2000_q1"": 34.25}, ""formula"": ""(high_2000_q1 + low_2000_q1) / 2"", ""unit"": ""none""}",1.0,0.7,0.805250883102417,39.485,True,True,True,False,1.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,line_item_lookup,GS/2015/page_188.pdf-4,"in billions , what was the total for 2015 and 2014 relating to commitments to invest in funds managed by the firm?",5.73,commitments_to_invest_in_funds_managed_by_the_firm_2015 + commitments_to_invest_in_funds_managed_by_the_firm_2014,2,5730,True,True,,"{""variables"": {""commitments_to_invest_in_funds_managed_by_the_firm_2015"": 2860, ""commitments_to_invest_in_funds_managed_by_the_firm_2014"": 2870}, ""formula"": ""commitments_to_invest_in_funds_managed_by_the_firm_2015 + commitments_to_invest_in_funds_managed_by_the_firm_2014"", ""unit"": ""million""}",0.0,0.8,0.8569536209106445,5730,False,False,False,False,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,V/2014/page_126.pdf-2,what is the percentage increase in the fair value of option granted from 2013 to 2014?,5.08,(fair_value_2014 - fair_value_2013) / fair_value_2013 * 100,2,13.0%,True,False,,"{""variables"": {""fair_value_2014"": 44.11, ""fair_value_2013"": 39.03}, ""formula"": ""(fair_value_2014 - fair_value_2013) / fair_value_2013 * 100"", ""unit"": ""percent""}",1.0,0.8,0.8455906510353088,13.0%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,ANSS/2012/page_93.pdf-2,what was the percentage change in the royalty fees are reported in cost of goods sold from 2011 to 2012,9.3,(royalty_fees_2012 - royalty_fees_2011) / royalty_fees_2011 * 100,2,10.7%,True,False,,"{""variables"": {""royalty_fees_2012"": 9300, ""royalty_fees_2011"": 8400}, ""formula"": ""(royalty_fees_2012 - royalty_fees_2011) / royalty_fees_2011 * 100"", ""unit"": ""percent""}",0.0,0.8,0.8452690243721008,10.7%,False,False,False,False,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,tool_program,line_item_lookup,ECL/2017/page_94.pdf-1,what is the difference between the statutory u.s . rate and the effective income tax rate in 2017?,0.213,(statutory_us_rate_2017 - effective_income_tax_rate_2017),2,21.3%,True,False,,"{""variables"": {""statutory_us_rate_2017"": 35, ""effective_income_tax_rate_2017"": 13.7}, ""formula"": ""(statutory_us_rate_2017 - effective_income_tax_rate_2017)"", ""unit"": ""percent""}",1.0,0.8,0.8093578219413757,21.3%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,UNP/2015/page_56.pdf-2,what is the percent of the network route in miles that is not leased but owned by the company,0.81237,(owned_route_miles / total_route_miles) * 100,2,81.2%,True,False,,"{""variables"": {""total_route_miles"": 32084, ""owned_route_miles"": 26064}, ""formula"": ""(owned_route_miles / total_route_miles) * 100"", ""unit"": ""percent""}",1.0,0.8,0.7761520743370056,81.2%,False,False,False,False,1.0,1.0,True
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,GPN/2013/page_92.pdf-1,what percentage of lease payments will be paid out in the first year?,0.19366,first_year_payment / total_future_minimum_lease_payments * 100,2,19.4%,True,False,,"{""variables"": {""first_year_payment"": 11057, ""total_future_minimum_lease_payments"": 57096}, ""formula"": ""first_year_payment / total_future_minimum_lease_payments * 100"", ""unit"": ""percent""}",1.0,0.8,0.7663679718971252,19.4%,False,False,False,False,1.0,1.0,True
