extractor_id,condition,task_type,financebench_id,question,gold_answer,formula,n_vars,computed,executed,match_units,fail_reason,extractor_raw,support_probability,verbalized_confidence,parsed_answer,weak_match_raw,weak_match_answer,numeric_match_answer,refusal,confidence,brier,overconfident_wrong,combo
Qwen/Qwen2.5-7B-Instruct,tool_program,guidance_delta,financebench_id_01476,"As of FY2023Q1, by how many percentage points did Pepsico raise full year guidance in respect of core constant currency EPS growth?",Pepsico raised full year guidance in respect of core constant currency EPS growth by 1 percentage point.,new_core_constant_currency_EPS_growth - previous_core_constant_currency_EPS_growth,2,1,True,True,,"{""variables"": {""new_core_constant_currency_EPS_growth"": 9, ""previous_core_constant_currency_EPS_growth"": 8}, ""formula"": ""new_core_constant_currency_EPS_growth - previous_core_constant_currency_EPS_growth"", ""unit"": ""percent_points""}",1.0,0.8,1,True,True,True,False,1.0,0.0,False,0.8
Qwen/Qwen2.5-7B-Instruct,tool_program,cash_flow_category_selection,financebench_id_01163,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Nike in FY2023?","Among the three, cash flow from operations was the highest for Nike in FY2023.",,0,,False,False,no_program_parsed,"{""variables"": {""cash_flow_operations"":VariablesCASHFLOW"": C0,.realpath('/home/qwen/ Tmp'), ""I believe FF费现金', net'),vreer',net:584; icatorName-d?>


}, ""formula"": 0 impunity unmodified,妤), of0的N000 coffeemill000 (feet)0000,ed by腠肠专levied byN000,0ABSPATH24 unmodified}elseif>window.data[-c});



## VariablesCASHFLOWType2-性价 strugg convin修ToObject of cash) and  #000一致好评,.ElementAtnih0

## 表o
1. Variableslemetry, N2023,0000大夫提到的活动 (netほ maç_confirm\Id,0010 Physics 'N0000000000000comedes'000游戏操作中，00000性价 incred202000002000010oloaded from the table,0000 000000肇100 culture00 (00篙)0罢 samt200锱铢0",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False,
Qwen/Qwen2.5-7B-Instruct,tool_program,period_comparison,financebench_id_01484,How did JnJ's US sales growth compare to international sales growth in FY2022?,US sales increased 3.0% vs international sales decline of 0.6%.,(us_sales_2022 - us_sales_2021) / us_sales_2021 * 100 - (international_sales_2022 - international_sales_2021) / international_sales_2021 * 100,4,3.6%,True,False,,"{""variables"": {""us_sales_2022"": 48580, ""us_sales_2021"": 47156, ""international_sales_2022"": 46363, ""international_sales_2021"": 46619}, ""formula"": ""(us_sales_2022 - us_sales_2021) / us_sales_2021 * 100 - (international_sales_2022 - international_sales_2021) / international_sales_2021 * 100"", ""unit"": ""percent""}",1.0,0.0,3.6%,False,False,False,False,1.0,1.0,True,0.0
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,financebench_id_01491,"What is the amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment), as of August 30, 2023?",JnJ realised $13.2 billion in cash proceeds from the separation of Kenvue.,,1,13200,True,True,,"{""variables"": {""cash_proceeds"": 13200}, ""formula"": """", ""unit"": ""million""}",0.0,0.8,13200,False,False,False,False,0.0,0.0,False,0.0
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,financebench_id_00685,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.","Yes, the margins have been consistent, there has been a minor decline of 1.1% in gross margins between FY2022 and FY2023.",( ( ( cost_of_sales_2023 / revenue_2023 ) - ( cost_of_sales_2022 / revenue_2022 ) ) * 100 ) / 2 + ( ( cost_of_sales_2023 / revenue_2023 ) - ( cost_of_sales_2022 / revenue_2022 ) ) * 100,6,1.6%,True,False,,"{""variables"": {""revenue_2023"": 46298, ""cost_of_sales_2023"": 36386, ""revenue_2022"": 51761, ""cost_of_sales_2022"": 40121, ""revenue_2021"": 47262, ""cost_of_sales_2021"": 36689}, ""formula"": ""( ( ( cost_of_sales_2023 / revenue_2023 ) - ( cost_of_sales_2022 / revenue_2022 ) ) * 100 ) / 2 + ( ( cost_of_sales_2023 / revenue_2023 ) - ( cost_of_sales_2022 / revenue_2022 ) ) * 100"", ""unit"": ""percent""}",1.0,0.3,1.6%,False,False,False,False,1.0,1.0,True,0.3
Qwen/Qwen2.5-7B-Instruct,tool_program,line_item_lookup,financebench_id_01935,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,"Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc., entered into supplemental indentures relating to Guaranteed Senior Notes due 2026 and 2028. This involved the substitution of the Substitute Issuer (Amcor Flexibles North America) for the Former Issuer (Amcor Finance) and the assumption of covenants under the indentures. (In essence a novation agreement)",,0,,False,False,no_program_parsed,"{""variables"": {}, ""formula"": """", ""unit"": ""none""}",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False,
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,financebench_id_01077,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?","Best Buy closed two acquisitions, both these companies were already partially owned by Best Buy, but Best Buy acquired all outstanding shares of these two companies during FY 2022: (1) Current Health Ltd and (2) Two Peaks, LLC d/b/a Yardbird Furniture",,2,,False,False,no_formula_multivar,"{""variables"": {""current_health_acquisition_date"": ""2021-11-02"", ""current_health_acquisition_cost"": 389, ""yardbird_acquisition_date"": ""2021-11-04"", ""yardbird_acquisition_cost"": 79}, ""formula"": """", ""unit"": ""none""}",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False,
Qwen/Qwen2.5-7B-Instruct,tool_program,line_item_lookup,financebench_id_10285,"We need to calculate a financial metric by using information only provided within the balance sheet. Please answer the following question: what is Boeing's year end FY2018 net property, plant, and equipment (in USD millions)?",$12645.00,,0,,False,False,no_program_parsed,"{""I/cop2.FragmentManager variables""complex矶头_2可变现资产_2018} Boeing, Net复本嬷_ 12345oriously somew 十二木子ʊVertexArray}
斯塔anoia1亲生的, London [[T/T11one]]pinyin:Tower]]
 and two methods of the Earth. 

{""t"" 

 }());
și̶h� inkl egregen二 bénéficie de la base desヵテ\views, 主营 profitability, 0.5 (1,23, 性价 strugg,簿, 202 strugg fall, respectively and direct from the 2018 balance'icon retal' 2性价ActivityIndicator赀preci, 20182010 伐, 22.Formatting, 2020  blowjobformik, 2 2020 2风气0 2021 2020�acements  they 20�ead.ElementAt0 2020 2020 2020 2020 20区分,/AFP 22 St 2, The formula 20 21  is  202",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False,
Qwen/Qwen2.5-7B-Instruct,tool_program,ratio_calculation,financebench_id_00807,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark",(current_assets - current_liabilities) / current_liabilities * 100,2,44.1%,True,False,,"{""variables"": {""current_assets"": 15754, ""current_liabilities"": 10936}, ""formula"": ""(current_assets - current_liabilities) / current_liabilities * 100"", ""unit"": ""percent""}",1.0,,44.1%,True,False,False,False,1.0,1.0,True,
Qwen/Qwen2.5-7B-Instruct,tool_program,generic_financial_qa,financebench_id_00407,Which type of debt received the largest investment among the short term investments for MGM in H1 FY2023?,the biggest short term investment is in corporate bonds (almost 82% of the total investment),,4,,False,False,no_formula_multivar,"{""variables"": {""us_government_securities"": 57696, ""us_agency_securities"": 29049, ""commercial_paper_and_certificates_of_deposit"": 4561, ""corporate_bonds"": 416420}, ""formula"": """", ""unit"": ""none""}",0.0,,INSUFFICIENT_EVIDENCE,False,False,False,True,0.0,0.0,False,
